Nombre del archivo,Placa,Placa detectada,errores,similaridad
"S1,CAM2,250212090459969,8123KTG,9993.jpg",8123KTG,8123KTG,[],1.0
"S1,CAM2,250212084802897,8770HSJ,9981.jpg",8770HSJ,8770HSJ,[],1.0
"S1,CAM2,250212084738398,6590HSH,9945.jpg",6590HSH,6590HSH,[],1.0
"S1,CAM2,250212084646089,4532MGF,9992.jpg",4532MGF,4532MGF,[],1.0
"S1,CAM2,250212080935064,4299LDY,9988.jpg",4299LDY,4299LDY,[],1.0
"S1,CAM2,250212085131980,4378KGC,9998.jpg",4378KGC,4378KGC,[],1.0
"S1,CAM2,250212080334322,1542LYC,10000.jpg",1542LYC,1542LYC,[],1.0
"S1,CAM2,250212084506328,0731JGX,9994.jpg",0731JGX,0731JGX,[],1.0
"S1,CAM2,250212080756226,8429LDK,9990.jpg",8429LDK,8429LDK,[],1.0
"S1,CAM2,250212080401660,3479HSL,9936.jpg",3479HSL,3479HSL,[],1.0
"S1,CAM2,250212083629261,6448MNJ,9973.jpg",6448MNJ,6448MNJ,[],1.0
"S1,CAM2,250212081223649,4688MVY,9998.jpg",4688MVY,4688MVY,[],1.0
"S1,CAM2,250212084454923,2975MDF,10000.jpg",2975MDF,2975MDF,[],1.0
"S1,CAM2,250212082041826,7805HFR,9983.jpg",7805HFR,7805HFR,[],1.0
"S1,CAM2,250212083455641,1782GZM,10000.jpg",1782GZM,1782GZM,[],1.0
"S1,CAM2,250212082348895,7096GDX,9932.jpg",7096GDX,7096GDX,[],1.0
"S1,CAM2,250212072541936,5598KJF,9993.jpg",5598KJF,5598KJF,[],1.0
"S1,CAM2,250212072040811,1165KGJ,9966.jpg",1165KGJ,1165KGJ,[],1.0
"S1,CAM2,250212075845942,5075FRB,9944.jpg",5075FRB,5075FRB,[],1.0
"S1,CAM2,250212074901519,7209LKF,9994.jpg",7209LKF,7209LKF,[],1.0
"S1,CAM2,250212074145183,1581JBD,9825.jpg",1581JBD,1581JBD,[],1.0
"S1,CAM2,250212075717931,3133DRL,9981.jpg",3133DRL,3133DRL,[],1.0
"S1,CAM2,250212072614325,5459LSS,9986.jpg",5459LSS,5459LSS,[],1.0
"S1,CAM2,250212112243085,8054DBL,9737.jpg",8054DBL,8054DBL,[],1.0
"S1,CAM2,250212105502687,8485MSR,9975.jpg",8485MSR,8485MSR,[],1.0
"S1,CAM2,250212105410877,7693KSH,9992.jpg",7693KSH,7693KSH,[],1.0
"S1,CAM2,250212112229101,3849FHG,9921.jpg",3849FHG,3849FHG,[],1.0
"S1,CAM2,250212110500953,7498MMJ,10000.jpg",7498MMJ,7498MMJ,[],1.0
"S1,CAM2,250212111001265,5880GCL,9994.jpg",5880GCL,5880GCL,[],1.0
"S1,CAM2,250212110830051,4034LHT,9949.jpg",4034LHT,4034LHT,[],1.0
"S1,CAM2,250212112133166,8386HTD,9944.jpg",8386HTD,8386HTD,[],1.0
"S1,CAM2,250212110201696,0500HLK,9913.jpg",0500HLK,0500HLK,[],1.0
"S1,CAM2,250212110259662,1958BCL,9990.jpg",1958BCL,1958BCL,[],1.0
"S1,CAM2,250212110000281,9550JSZ,9951.jpg",9550JSZ,9550JSZ,[],1.0
"S1,CAM2,250212104213055,0133KXC,9998.jpg",0133KXC,0133KXC,[],1.0
"S1,CAM2,250212104345253,4482JNZ,9999.jpg",4482JNZ,4482JNZ,[],1.0
"S1,CAM2,250212105018530,5826MVS,9992.jpg",5826MVS,5826MVS,[],1.0
"S1,CAM2,250212104505765,6320DSN,9993.jpg",6320DSN,6320DSN,[],1.0
"S1,CAM2,250212104730445,7038GZF,9997.jpg",7038GZF,7038GZF,[],1.0
"S1,CAM2,250212103923767,9245KTW,9998.jpg",9245KTW,9245KTW,[],1.0
"S1,CAM2,250212104141119,1866HYC,10000.jpg",1866HYC,1866HYC,[],1.0
"S1,CAM2,250212104017124,7348KBS,9977.jpg",7348KBS,7348KBS,[],1.0
"S1,CAM2,250212103453437,8708GGT,9994.jpg",8708GGT,8708GGT,[],1.0
"S1,CAM2,250212103154041,9220CXZ,9355.jpg",9220CXZ,9220CXZ,[],1.0
"S1,CAM2,250212102641307,2975MDF,9995.jpg",2975MDF,2975MDF,[],1.0
"S1,CAM2,250212101543794,5996KXG,9992.jpg",5996KXG,5996KXG,[],1.0
"S1,CAM2,250212101255538,8137KMM,9997.jpg",8137KMM,8137KMM,[],1.0
"S1,CAM2,250212101908893,7693KSH,9999.jpg",7693KSH,7693KSH,[],1.0
"S1,CAM2,250212101625355,0301DYP,9947.jpg",0301DYP,0301DYP,[],1.0
"S1,CAM2,250212102041529,1364JVT,9998.jpg",1364JVT,1364JVT,[],1.0
"S1,CAM2,250212101100872,9958GVB,9978.jpg",9958GVB,9958GVB,[],1.0
"S1,CAM2,250212101028123,2178JFV,9638.jpg",2178JFV,2178JFV,[],1.0
"S1,CAM2,250212100045997,5460JJS,9594.jpg",5460JJS,5460JJS,[],1.0
"S1,CAM2,250212094809490,9962LLM,9998.jpg",9962LLM,9962LLM,[],1.0
"S1,CAM2,250212094239789,7814HYM,9966.jpg",7814HYM,7814HYM,[],1.0
"S1,CAM2,250212094228008,3977JNK,9779.jpg",3977JNK,3977JNK,[],1.0
"S1,CAM2,250212101040216,8196GSJ,9939.jpg",8196GSJ,8196GSJ,[],1.0
"S1,CAM2,250212095044076,4876LLX,9986.jpg",4876LLX,4876LLX,[],1.0
"S1,CAM2,250212095826474,2422HKS,9999.jpg",2422HKS,2422HKS,[],1.0
"S1,CAM2,250212100231508,5726BBX,9979.jpg",5726BBX,5726BBX,[],1.0
"S1,CAM2,250212095633698,6872KYS,9999.jpg",6872KYS,6872KYS,[],1.0
"S1,CAM2,250212100550778,1571MNW,9995.jpg",1571MNW,1571MNW,[],1.0
"S1,CAM2,250212091633277,8540JKN,9974.jpg",8540JKN,8540JKN,[],1.0
"S1,CAM2,250212092038498,8898JZN,9969.jpg",8898JZN,8898JZN,[],1.0
"S1,CAM2,250212091901659,3390GTF,9935.jpg",3390GTF,3390GTF,[],1.0
"S1,CAM2,250212091130074,7348KBS,9905.jpg",7348KBS,7348KBS,[],1.0
"S1,CAM2,250212093946204,0245FVZ,9963.jpg",0245FVZ,0245FVZ,[],1.0
"S1,CAM2,250212093959859,2757CYM,9989.jpg",2757CYM,2757CYM,[],1.0
"S1,CAM2,250212094023436,7015DRV,9944.jpg",7015DRV,7015DRV,[],1.0
"S1,CAM2,250212090541483,8101HMB,9987.jpg",8101HMB,8101HMB,[],1.0
"S1,CAM2,250212093753866,3713MLT,9999.jpg",3713MLT,3713MLT,[],1.0
"S1,CAM2,250212091040264,5017LKP,9996.jpg",5017LKP,5017LKP,[],1.0
"S1,CAM2,250212090651776,5435KMX,9990.jpg",5435KMX,5435KMX,[],1.0
"S1,CAM2,250212090139683,7418FZH,10000.jpg",7418FZH,7418FZH,[],1.0
"S1,CAM2,250212085453985,4533LGL,9938.jpg",4533LGL,4533LGL,[],1.0
"S1,CAM2,250212090506484,6968MLH,9988.jpg",6968MLH,6968MLH,[],1.0
"S1,CAM2,250212090347285,7523BSP,9940.jpg",7523BSP,7523BSP,[],1.0
"S1,CAM2,250212090929752,8101HMB,9992.jpg",8101HMB,8101HMB,[],1.0
"S1,CAM2,250212130717054,5513BRR,9980.jpg",5513BRR,5513BRR,[],1.0
"S1,CAM2,250212124748631,9830HMW,9998.jpg",9830HMW,9830HMW,[],1.0
"S1,CAM2,250212125900033,0951LTM,9902.jpg",0951LTM,0951LTM,[],1.0
"S1,CAM2,250212130449421,6017MNM,9995.jpg",6017MNM,6017MNM,[],1.0
"S1,CAM2,250212130211757,0614HZS,9908.jpg",0614HZS,0614HZS,[],1.0
"S1,CAM2,250212123818942,0962KDT,9977.jpg",0962KDT,0962KDT,[],1.0
"S1,CAM2,250212122753974,8758MSJ,9975.jpg",8758MSJ,8758MSJ,[],1.0
"S1,CAM2,250212122931922,4508LNP,9943.jpg",4508LNP,4508LNP,[],1.0
"S1,CAM2,250212123401768,2771KPG,9996.jpg",2771KPG,2771KPG,[],1.0
"S1,CAM2,250212130502827,1280BVC,9975.jpg",1280BVC,1280BVC,[],1.0
"S1,CAM2,250212125006702,7343KHF,9987.jpg",7343KHF,7343KHF,[],1.0
"S1,CAM2,250212124801599,7216MFV,9982.jpg",7216MFV,7216MFV,[],1.0
"S1,CAM2,250212124822941,2097GLS,9951.jpg",2097GLS,2097GLS,[],1.0
"S1,CAM2,250212124129275,5556LXB,9966.jpg",5556LXB,5556LXB,[],1.0
"S1,CAM2,250212121107527,3508JTD,9961.jpg",3508JTD,3508JTD,[],1.0
"S1,CAM2,250212120855987,9377HZJ,9938.jpg",9377HZJ,9377HZJ,[],1.0
"S1,CAM2,250212120842987,6968BSP,9992.jpg",6968BSP,6968BSP,[],1.0
"S1,CAM2,250212120443000,0922LHS,9947.jpg",0922LHS,0922LHS,[],1.0
"S1,CAM2,250212120432032,8637JYV,10000.jpg",8637JYV,8637JYV,[],1.0
"S1,CAM2,250212120759943,2528JMG,9984.jpg",2528JMG,2528JMG,[],1.0
"S1,CAM2,250212120421220,9510LFM,9993.jpg",9510LFM,9510LFM,[],1.0
"S1,CAM2,250212122454655,5221DLM,10000.jpg",5221DLM,5221DLM,[],1.0
"S1,CAM2,250212121327691,8146MGB,9997.jpg",8146MGB,8146MGB,[],1.0
"S1,CAM2,250212120955171,5068DLM,9935.jpg",5068DLM,5068DLM,[],1.0
"S1,CAM2,250212122047856,7342FLS,9944.jpg",7342FLS,7342FLS,[],1.0
"S1,CAM2,250212113334972,6982DDN,9994.jpg",6982DDN,6982DDN,[],1.0
"S1,CAM2,250212113511702,0492GDB,9973.jpg",0492GDB,0492GDB,[],1.0
"S1,CAM2,250212113207555,9015MDZ,9995.jpg",9015MDZ,9015MDZ,[],1.0
"S1,CAM2,250212114405424,9304GRN,9970.jpg",9304GRN,9304GRN,[],1.0
"S1,CAM2,250212113326817,6030KRW,9899.jpg",6030KRW,6030KRW,[],1.0
"S1,CAM2,250212114619433,6278MRZ,9999.jpg",6278MRZ,6278MRZ,[],1.0
"S1,CAM2,250212120832707,8443JYF,9924.jpg",8443JYF,8443JYF,[],1.0
"S1,CAM2,250212115518842,6983KSB,9924.jpg",6983KSB,6983KSB,[],1.0
"S1,CAM2,250212120203993,SE0029CZ,9936.jpg",SE0029CZ,SE0029CZ,[],1.0
"S1,CAM2,250212115936860,0533JBP,9983.jpg",0533JBP,0533JBP,[],1.0
"S1,CAM2,250212112828910,5315KVM,9931.jpg",5315KVM,5315KVM,[],1.0
"S1,CAM2,250212114235397,7537MBP,9964.jpg",7537MBP,7537MBP,[],1.0
"S1,CAM2,250212112249772,7697FLY,9989.jpg",7697FLY,7697FLY,[],1.0
"S1,CAM2,250212113309505,7773KCL,9963.jpg",7773KCL,7773KCL,[],1.0
"S1,CAM2,250212141304265,9955LKR,9985.jpg",9955LKR,9955LKR,[],1.0
"S1,CAM2,250212141007509,7672LFG,9995.jpg",7672LFG,7672LFG,[],1.0
"S1,CAM2,250212140842967,3288KSF,9998.jpg",3288KSF,3288KSF,[],1.0
"S1,CAM2,250212140931073,5017LKP,9994.jpg",5017LKP,5017LKP,[],1.0
"S1,CAM2,250212140710206,6128HXG,9977.jpg",6128HXG,6128HXG,[],1.0
"S1,CAM2,250212140727049,3242MTV,10000.jpg",3242MTV,3242MTV,[],1.0
"S1,CAM2,250212140619677,3390GTF,9967.jpg",3390GTF,3390GTF,[],1.0
"S1,CAM2,250212140826139,9842HYC,10000.jpg",9842HYC,9842HYC,[],1.0
"S1,CAM2,250212140647816,8101HMB,9989.jpg",8101HMB,8101HMB,[],1.0
"S1,CAM2,250212140835732,3841HTP,9994.jpg",3841HTP,3841HTP,[],1.0
"S1,CAM2,250212140237048,1235KPH,9999.jpg",1235KPH,1235KPH,[],1.0
"S1,CAM2,250212140542320,7324MFB,9990.jpg",7324MFB,7324MFB,[],1.0
"S1,CAM2,250212135841248,7498MMJ,10000.jpg",7498MMJ,7498MMJ,[],1.0
"S1,CAM2,250212140602240,7449CXN,9964.jpg",7449CXN,7449CXN,[],1.0
"S1,CAM2,250212134153004,5046KHN,9988.jpg",5046KHN,5046KHN,[],1.0
"S1,CAM2,250212135206175,5253KTV,9998.jpg",5253KTV,5253KTV,[],1.0
"S1,CAM2,250212134321031,6366FKT,9997.jpg",6366FKT,6366FKT,[],1.0
"S1,CAM2,250212135604522,9225GSP,9999.jpg",9225GSP,9225GSP,[],1.0
"S1,CAM2,250212134423621,7034MGN,9988.jpg",7034MGN,7034MGN,[],1.0
